Montant_de_la_commande,Quantite,Prix_Unité,Montant_Remise,Montant_Livraison,a_code_promo,canal_vente,Type_client,ville_client,prix_catalogue,En_Promo,canal_produit,Categorie,Type_Vente,Type_paiement,Annee,Mois,Trimestre,Semestre,est_saison_haute,remise_pct,ratio_prix_catalogue
45.0,1,15.0,0.0,7.0,1,B2C,Particulier,Gafsa,15.0,False,Site Web,LA TOUCHE DÉCO,Site_Web,PAY IN PERSON,2024,5,Trimestre 2,Semestre 1,0,0.0,1.0
45.0,1,15.0,0.0,7.0,1,B2C,Particulier,Gafsa,15.0,False,Site Web,ART DE LA TABLE,Site_Web,PAY IN PERSON,2024,5,Trimestre 2,Semestre 1,0,0.0,1.0
45.0,1,15.0,0.0,7.0,1,B2C,Particulier,Gafsa,15.0,False,Site Web,PRODUITS DE BEAUTÉ,Site_Web,PAY IN PERSON,2024,5,Trimestre 2,Semestre 1,0,0.0,1.0
30.0,1,30.0,0.0,7.0,1,B2C,Particulier,Tunis,30.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2024,6,Trimestre 2,Semestre 1,1,0.0,1.0
30.0,1,30.0,0.0,7.0,1,B2C,Particulier,Medenine,30.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2024,6,Trimestre 2,Semestre 1,1,0.0,1.0
169.0,1,46.0,0.0,7.0,1,B2C,Particulier,Manouba,46.0,False,Site Web,JEUX,Site_Web,PAYMEE,2024,6,Trimestre 2,Semestre 1,1,0.0,1.0
169.0,1,65.0,0.0,7.0,1,B2C,Particulier,Manouba,65.0,False,Site Web,JEUX,Site_Web,PAYMEE,2024,6,Trimestre 2,Semestre 1,1,0.0,1.0
169.0,1,30.0,0.0,7.0,1,B2C,Particulier,Manouba,30.0,False,Site Web,JEUX,Site_Web,PAYMEE,2024,6,Trimestre 2,Semestre 1,1,0.0,1.0
169.0,1,28.0,0.0,7.0,1,B2C,Particulier,Manouba,28.0,False,Site Web,JEUX,Site_Web,PAYMEE,2024,6,Trimestre 2,Semestre 1,1,0.0,1.0
14.0,1,14.0,0.0,7.0,1,B2C,Particulier,Tunis,14.0,False,Site Web,LA TOUCHE DÉCO,Site_Web,PAY IN PERSON,2024,7,Trimestre 3,Semestre 2,1,0.0,1.0
75.0,1,30.0,0.0,7.0,1,B2C,Particulier,Nabeul,30.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2024,7,Trimestre 3,Semestre 2,1,0.0,1.0
75.0,1,45.0,0.0,7.0,1,B2C,Particulier,Nabeul,45.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2024,7,Trimestre 3,Semestre 2,1,0.0,1.0
75.0,1,30.0,0.0,7.0,1,B2C,Particulier,Sousse,30.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2024,7,Trimestre 3,Semestre 2,1,0.0,1.0
75.0,1,45.0,0.0,7.0,1,B2C,Particulier,Sousse,45.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2024,7,Trimestre 3,Semestre 2,1,0.0,1.0
58.0,1,58.0,0.0,7.0,1,B2C,Particulier,Medenine,58.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2024,8,Trimestre 3,Semestre 2,1,0.0,1.0
65.0,1,65.0,0.0,7.0,1,B2C,Particulier,Monastir,65.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2024,8,Trimestre 3,Semestre 2,1,0.0,1.0
55.0,1,55.0,0.0,7.0,1,B2C,Particulier,Medenine,55.0,False,Site Web,COFFRETS CADEAUX,Site_Web,PAY IN PERSON,2024,8,Trimestre 3,Semestre 2,1,0.0,1.0
30.0,1,30.0,0.0,7.0,1,B2C,Particulier,Sfax,30.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2024,8,Trimestre 3,Semestre 2,1,0.0,1.0
180.0,1,180.0,0.0,7.0,1,B2C,Particulier,Sousse,180.0,False,Site Web,CARAFES ET BOUTEILLES,Site_Web,PAY IN PERSON,2024,9,Trimestre 3,Semestre 2,0,0.0,1.0
48.0,1,48.0,0.0,7.0,1,B2C,Particulier,Tunis,48.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2024,9,Trimestre 3,Semestre 2,0,0.0,1.0
160.0,5,32.0,0.0,0.0,1,B2B,Entreprise,Sousse,38.08,False,Terrain,COFFRETS CADEAUX,Terrain,VIREMENT,2024,9,Trimestre 3,Semestre 2,0,0.0,0.8403361344537815
110.0,2,40.0,0.0,7.0,1,B2C,Particulier,Tunis,40.0,False,Site Web,LA TOUCHE DÉCO,Site_Web,PAY IN PERSON,2024,10,Trimestre 4,Semestre 2,0,0.0,1.0
110.0,1,30.0,0.0,7.0,1,B2C,Particulier,Tunis,30.0,False,Site Web,LA TOUCHE DÉCO,Site_Web,PAY IN PERSON,2024,10,Trimestre 4,Semestre 2,0,0.0,1.0
26784.0,432,62.0,0.0,0.0,1,B2B,Entreprise,Tunis,62.1178,False,Terrain,COFFRETS CADEAUX,Terrain,VIREMENT,2024,10,Trimestre 4,Semestre 2,0,0.0,0.9981036031540074
45.0,3,15.0,0.0,7.0,1,B2C,Particulier,Tunis,15.0,False,Site Web,LINGE DE MAISON,Site_Web,PAY IN PERSON,2024,11,Trimestre 4,Semestre 2,0,0.0,1.0
70.0,1,70.0,0.0,7.0,1,B2C,Particulier,Tunis,49.9,False,Site Web,COFFRETS CADEAUX,Site_Web,PAY IN PERSON,2024,11,Trimestre 4,Semestre 2,0,0.0,1.402805611222445
192.0,1,160.0,0.0,0.0,1,B2B,Entreprise,Sousse,38.08,False,Terrain,COFFRETS CADEAUX,Terrain,VIREMENT,2024,11,Trimestre 4,Semestre 2,0,0.0,2.0
14500.0,500,29.0,0.0,0.0,1,B2B,Entreprise,Tunis,34.51,False,Terrain,COFFRETS CADEAUX,Terrain,VIREMENT,2024,11,Trimestre 4,Semestre 2,0,0.0,0.8403361344537815
2500.0,500,5.0,0.0,0.0,1,B2B,Entreprise,Tunis,5.949999999999999,False,Terrain,LA TOUCHE DÉCO,Terrain,VIREMENT,2024,11,Trimestre 4,Semestre 2,0,0.0,0.8403361344537816
1000.0,500,2.0,0.0,0.0,1,B2B,Entreprise,Tunis,2.38,False,Terrain,LINGE DE MAISON,Terrain,VIREMENT,2024,11,Trimestre 4,Semestre 2,0,0.0,0.8403361344537815
1000.0,500,2.0,0.0,0.0,1,B2B,Entreprise,Tunis,2.38,False,Terrain,LUMINAIRES,Terrain,VIREMENT,2024,11,Trimestre 4,Semestre 2,0,0.0,0.8403361344537815
500.0,500,1.0,0.0,0.0,1,B2B,Entreprise,Tunis,1.19,False,Terrain,RANGEMENTS,Terrain,VIREMENT,2024,11,Trimestre 4,Semestre 2,0,0.0,0.8403361344537815
30.0,1,30.0,0.0,7.0,1,B2C,Particulier,Tunis,30.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2024,11,Trimestre 4,Semestre 2,0,0.0,1.0
70.0,1,70.0,0.0,7.0,1,B2C,Particulier,Tunis,49.9,False,Site Web,COFFRETS CADEAUX,Site_Web,PAY IN PERSON,2024,11,Trimestre 4,Semestre 2,0,0.0,1.402805611222445
128.0,4,32.0,0.0,0.0,1,B2B,Entreprise,Sousse,38.08,False,Terrain,COFFRETS CADEAUX,Terrain,VIREMENT,2024,12,Trimestre 4,Semestre 2,1,0.0,0.8403361344537815
26784.0,432,62.0,0.0,0.0,1,B2B,Entreprise,Tunis,73.78,False,Terrain,COFFRETS CADEAUX,Terrain,VIREMENT,2024,12,Trimestre 4,Semestre 2,1,0.0,0.8403361344537815
28.0,1,28.0,0.0,7.0,1,B2C,Particulier,Ariana,28.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2024,12,Trimestre 4,Semestre 2,1,0.0,1.0
30.0,1,30.0,0.0,7.0,1,B2C,Particulier,Tunis,30.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2024,12,Trimestre 4,Semestre 2,1,0.0,1.0
60.0,3,20.0,0.0,7.0,1,B2C,Particulier,Ariana,20.0,False,Site Web,TAPIS,Site_Web,PAY IN PERSON,2024,12,Trimestre 4,Semestre 2,1,0.0,1.0
104.0,1,58.0,0.0,7.0,1,B2C,Particulier,Manubah,58.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2024,12,Trimestre 4,Semestre 2,1,0.0,1.0
104.0,1,46.0,0.0,7.0,1,B2C,Particulier,Manubah,46.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2024,12,Trimestre 4,Semestre 2,1,0.0,1.0
30.0,1,30.0,0.0,7.0,1,B2C,Particulier,Tunis,30.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2024,12,Trimestre 4,Semestre 2,1,0.0,1.0
30.0,1,30.0,0.0,7.0,1,B2C,Particulier,Monastir,30.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2024,12,Trimestre 4,Semestre 2,1,0.0,1.0
224.0,7,32.0,0.0,0.0,1,B2B,Entreprise,Sousse,38.08,False,Terrain,COFFRETS CADEAUX,Terrain,VIREMENT,2025,1,Trimestre 1,Semestre 1,0,0.0,0.8403361344537815
128.0,4,32.0,0.0,0.0,1,B2B,Entreprise,Sousse,38.08,False,Terrain,COFFRETS CADEAUX,Terrain,VIREMENT,2025,1,Trimestre 1,Semestre 1,0,0.0,0.8403361344537815
50000.0,500,100.0,0.0,0.0,1,B2B,Entreprise,Tunis,119.0,False,Terrain,ARTISANAT,Terrain,VIREMENT,2025,1,Trimestre 1,Semestre 1,0,0.0,0.8403361344537815
58.0,1,58.0,0.0,7.0,1,B2C,Particulier,Ariana,58.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
120.0,1,120.0,0.0,7.0,1,B2C,Particulier,Tunis,120.0,False,Site Web,CARAFES ET BOUTEILLES,Site_Web,PAY IN PERSON,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
64.0,2,32.0,0.0,0.0,1,B2B,Entreprise,Ben Arous,38.08,False,Terrain,COFFRETS CADEAUX,Terrain,VIREMENT,2025,1,Trimestre 1,Semestre 1,0,0.0,0.8403361344537815
96.0,3,32.0,0.0,0.0,1,B2B,Entreprise,Ben Arous,38.08,False,Terrain,COFFRETS CADEAUX,Terrain,VIREMENT,2025,1,Trimestre 1,Semestre 1,0,0.0,0.8403361344537815
48.0,1,48.0,0.0,7.0,1,B2C,Particulier,Sousse,48.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
30.0,1,30.0,0.0,7.0,1,B2C,Particulier,Tunis,30.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
30.0,1,30.0,0.0,7.0,1,B2C,Particulier,Ariana,30.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
186.0,3,62.0,0.0,0.0,1,B2B,Entreprise,Tunis,73.78,False,Terrain,COFFRETS CADEAUX,Terrain,VIREMENT,2025,1,Trimestre 1,Semestre 1,0,0.0,0.8403361344537815
46.0,1,46.0,0.0,7.0,1,B2C,Particulier,Sousse,46.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
90.0,1,90.0,0.0,7.0,1,B2C,Particulier,Tunis,90.0,False,Site Web,"CÉRAMIQUES, VASES",Site_Web,WALLET PAYMENT,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
100.0,1,35.0,0.0,7.0,1,B2C,Particulier,Tunis,35.0,False,Site Web,"CÉRAMIQUES, VASES",Site_Web,PAY IN PERSON,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
100.0,1,15.0,0.0,7.0,1,B2C,Particulier,Tunis,15.0,False,Site Web,ART DE TABLE,Site_Web,PAY IN PERSON,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
100.0,1,20.0,0.0,7.0,1,B2C,Particulier,Tunis,20.0,False,Site Web,CARAFES ET BOUTEILLES,Site_Web,PAY IN PERSON,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
100.0,2,15.0,0.0,7.0,1,B2C,Particulier,Tunis,15.0,False,Site Web,ART DE TABLE,Site_Web,PAY IN PERSON,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
90.0,1,90.0,0.0,7.0,1,B2C,Particulier,Manouba,90.0,False,Site Web,"CÉRAMIQUES, VASES",Site_Web,WALLET PAYMENT,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
100.0,2,50.0,0.0,7.0,1,B2C,Particulier,Tunis,50.0,False,Site Web,"CÉRAMIQUES, VASES",Site_Web,PAY IN PERSON,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
105.0,1,20.0,0.0,7.0,1,B2C,Particulier,Tunis,20.0,False,Site Web,CARAFES ET BOUTEILLES,Site_Web,PAY IN PERSON,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
105.0,2,20.0,0.0,7.0,1,B2C,Particulier,Tunis,20.0,False,Site Web,CARAFES ET BOUTEILLES,Site_Web,PAY IN PERSON,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
105.0,1,45.0,0.0,7.0,1,B2C,Particulier,Tunis,45.0,False,Site Web,ARTICLES EN CUIVRE,Site_Web,PAY IN PERSON,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
79.0,1,34.0,0.0,7.0,1,B2C,Particulier,Tunis,34.0,False,Site Web,ART DE LA TABLE,Site_Web,WALLET PAYMENT,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
79.0,1,45.0,0.0,7.0,1,B2C,Particulier,Tunis,45.0,False,Site Web,ARTICLES EN CUIVRE,Site_Web,WALLET PAYMENT,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
90.0,1,45.0,0.0,7.0,1,B2C,Particulier,Tunis,45.0,False,Site Web,ARTISANAT,Site_Web,WALLET PAYMENT,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
90.0,1,45.0,0.0,7.0,1,B2C,Particulier,Tunis,45.0,False,Site Web,"CÉRAMIQUES, VASES",Site_Web,WALLET PAYMENT,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
90.0,1,70.0,0.0,7.0,1,B2C,Particulier,Tunis,70.0,False,Site Web,LA TOUCHE DÉCO,Site_Web,WALLET PAYMENT,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
90.0,1,20.0,0.0,7.0,1,B2C,Particulier,Tunis,20.0,False,Site Web,CARAFES ET BOUTEILLES,Site_Web,WALLET PAYMENT,2025,1,Trimestre 1,Semestre 1,0,0.0,1.0
99.0,1,20.0,0.0,8.0,1,B2C,Particulier,Tunis,20.0,False,Site Web,CARAFES ET BOUTEILLES,Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
99.0,1,34.0,0.0,8.0,1,B2C,Particulier,Tunis,34.0,False,Site Web,ART DE LA TABLE,Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
99.0,1,45.0,0.0,8.0,1,B2C,Particulier,Tunis,45.0,False,Site Web,ARTISANAT,Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
128.0,4,32.0,0.0,0.0,1,B2B,Entreprise,Sousse,38.08,False,Terrain,COFFRETS CADEAUX,Terrain,VIREMENT,2025,2,Trimestre 1,Semestre 1,0,0.0,0.8403361344537815
64.0,2,32.0,0.0,0.0,1,B2B,Entreprise,Ben Arous,38.08,False,Terrain,COFFRETS CADEAUX,Terrain,VIREMENT,2025,2,Trimestre 1,Semestre 1,0,0.0,0.8403361344537815
30.0,1,30.0,0.0,8.0,1,B2C,Particulier,Tunis,30.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
72.0,1,20.0,0.0,8.0,1,B2C,Particulier,Tunis,20.0,False,Site Web,CARAFES ET BOUTEILLES,Site_Web,WALLET PAYMENT,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
72.0,1,20.0,0.0,8.0,1,B2C,Particulier,Tunis,20.0,False,Site Web,CARAFES ET BOUTEILLES,Site_Web,WALLET PAYMENT,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
72.0,1,17.0,0.0,8.0,1,B2C,Particulier,Tunis,17.0,False,Site Web,ART DE TABLE,Site_Web,WALLET PAYMENT,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
72.0,1,15.0,0.0,8.0,1,B2C,Particulier,Tunis,15.0,False,Site Web,ART DE TABLE,Site_Web,WALLET PAYMENT,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
95.0,1,50.0,0.0,8.0,1,B2C,Particulier,Monastir,50.0,False,Site Web,"CÉRAMIQUES, VASES",Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
95.0,1,45.0,0.0,8.0,1,B2C,Particulier,Monastir,45.0,False,Site Web,ARTISANAT,Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
105.0,1,70.0,0.0,8.0,1,B2C,Particulier,Tunis,70.0,False,Site Web,LA TOUCHE DÉCO,Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
105.0,1,35.0,0.0,8.0,1,B2C,Particulier,Tunis,35.0,False,Site Web,"CÉRAMIQUES, VASES",Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
99.0,1,45.0,0.0,8.0,1,B2C,Particulier,Tunis,45.0,False,Site Web,ARTICLES EN CUIVRE,Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
99.0,1,34.0,0.0,8.0,1,B2C,Particulier,Tunis,34.0,False,Site Web,ARTICLES EN CUIVRE,Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
99.0,1,20.0,0.0,8.0,1,B2C,Particulier,Tunis,20.0,False,Site Web,"CÉRAMIQUES, SERVICE DE TABLE",Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
90.0,1,90.0,0.0,8.0,1,B2C,Particulier,Tunis,90.0,False,Site Web,"CÉRAMIQUES, VASES",Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
109.0,1,92.0,0.0,8.0,1,B2C,Particulier,Tunis,92.0,False,Site Web,VASES,Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
109.0,1,17.0,0.0,8.0,1,B2C,Particulier,Tunis,17.0,False,Site Web,ART DE TABLE,Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
56525.0,850,66.5,0.0,0.0,1,B2B,Entreprise,Tunis,79.13499999999999,False,Terrain,ARTICLES EN CUIVRE,Terrain,VIREMENT,2025,2,Trimestre 1,Semestre 1,0,0.0,0.8403361344537816
1500.0,1,1500.0,0.0,0.0,1,B2B,Entreprise,Tunis,1785.0,False,Terrain,LUMINAIRES,Terrain,VIREMENT,2025,2,Trimestre 1,Semestre 1,0,0.0,0.8403361344537815
25.0,1,25.0,0.0,8.0,1,B2C,Particulier,Sousse,25.0,False,Site Web,"CÉRAMIQUES, SERVICE DE TABLE",Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
100.0,2,50.0,0.0,8.0,1,B2C,Particulier,Sousse,50.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
50.0,1,25.0,0.0,8.0,1,B2C,Particulier,Ben Arous,25.0,False,Site Web,"CÉRAMIQUES, SERVICE DE TABLE",Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
50.0,1,25.0,0.0,8.0,1,B2C,Particulier,Ben Arous,30.0,False,Site Web,"CÉRAMIQUES, SERVICE DE TABLE",Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,0.8333333333333334
25.0,1,25.0,0.0,8.0,1,B2C,Particulier,Ariana,25.0,False,Site Web,"CÉRAMIQUES, SERVICE DE TABLE",Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
150.0,2,20.0,30.0,8.0,1,B2C,Particulier,Ben Arous,25.0,False,Site Web,"CÉRAMIQUES, SERVICE DE TABLE",Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,1.0,0.8
150.0,2,20.0,0.0,8.0,1,B2C,Particulier,Ben Arous,30.0,False,Site Web,"CÉRAMIQUES, SERVICE DE TABLE",Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,0.6666666666666666
150.0,2,20.0,0.0,8.0,1,B2C,Particulier,Ben Arous,25.0,False,Site Web,SCULPTURES,Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,0.8
50.0,1,50.0,0.0,8.0,1,B2C,Particulier,Nabeul,50.0,False,Site Web,ART DE LA TABLE,Site_Web,AUTRE,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
100.0,1,50.0,0.0,0.0,1,B2C,Particulier,Tunis,50.0,False,Site Web,ART DE LA TABLE,Site_Web,AUTRE,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
100.0,1,50.0,0.0,0.0,1,B2C,Particulier,Tunis,50.0,False,Site Web,"CÉRAMIQUES, SERVICE DE TABLE",Site_Web,AUTRE,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
95.0,1,45.0,0.0,8.0,1,B2C,Particulier,Tunis,45.0,False,Site Web,"CÉRAMIQUES, VASES",Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
95.0,1,25.0,0.0,8.0,1,B2C,Particulier,Tunis,25.0,False,Site Web,"CÉRAMIQUES, SERVICE DE TABLE",Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
95.0,1,25.0,0.0,8.0,1,B2C,Particulier,Tunis,25.0,False,Site Web,VASES ET POTS,Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
50.0,1,50.0,0.0,8.0,1,B2C,Particulier,Ariana,50.0,False,Site Web,ART DE LA TABLE,Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
25.0,1,25.0,0.0,8.0,1,B2C,Particulier,Tunis,25.0,False,Site Web,SCULPTURES,Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
50.0,1,50.0,0.0,8.0,1,B2C,Particulier,Gabes,50.0,False,Site Web,ART DE LA TABLE,Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
25.0,1,25.0,0.0,8.0,1,B2C,Particulier,Sousse,25.0,False,Site Web,SCULPTURES,Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
50.0,1,50.0,0.0,8.0,1,B2C,Particulier,Sfax,50.0,False,Site Web,ART DE LA TABLE,Site_Web,PAY IN PERSON,2025,2,Trimestre 1,Semestre 1,0,0.0,1.0
